pmid,source_type,first_author,year,mab_name,target,format,development_stage,regulatory_context,threeRs_mentioned,author_reduction_recommendation,species,n_animals,study_type,duration_days,species_justification,cross_reactivity_evidence,endpoints_unique_to_animal,concurrent_nam,n_nams_discussed
41776134,abstract-only,Ichikawa Takuya,2026,,not stated,IgG1,lead optimization,none-stated,True,The authors recommend using their cassette-dosing LC-MS/MS PK method with engineered alanine-modified IgG1 antibodies to reduce animal use and development costs while maintaining comparable PK results.,mouse,,PK,,not stated,not addressed,"t1/2, C0, AUClast, Vss after intravenous administration",,1
41833676,abstract-only,Yesmin Sanjida,2026,4713,not stated,other,clinical translation,none-stated,False,,mouse,,immunogenicity,,not stated,not addressed,anti-drug antibody (ADA) induction and assessment of function-blocking ADA; cytotoxicity against Raji cells,,0
42127553,abstract-only,Aoyama Muneo,2026,etalanetug (E2814),tau,IgG1,IND-enabling,IND-supporting,False,,rat,,PK,,regulatory expectation,not addressed,biphasic serum concentration decline after IV 30 mg/kg; half-life 150-193 h,,1
42127553,abstract-only,Aoyama Muneo,2026,etalanetug (E2814),tau,IgG1,IND-enabling,IND-supporting,False,,cynomolgus,,PK,,regulatory expectation,not addressed,biphasic serum concentration decline after IV 30 mg/kg; half-life 150-193 h,,1
41828601,fulltext,Wymann Sandra,2026,CSL305,Complement C2 (classical/lectin pathway) and FcRn (neonatal Fc receptor) via engineered Fc YPY motif,IgG4,IND-enabling,none-stated,False,,mouse,3,PK,7,historical precedent,not addressed,Plasma PK of CSL305 and WT anti-C2 mAbs after single IV dosing; endogenous mouse IgG levels (FcRn-mediated IgG reduction) measured by ELISA,,0
41828601,fulltext,Wymann Sandra,2026,CSL305,Complement C2 (classical/lectin pathway) and FcRn (neonatal Fc receptor) via engineered Fc YPY motif,IgG4,IND-enabling,none-stated,False,,mouse,3,PK,7,regulatory expectation,not addressed,Plasma PK of CSL305 and WT anti-C2 mAbs in human FcRn transgenic mice (32HOM); endogenous mouse IgG reduction measured by ELISA,,0
41828601,fulltext,Wymann Sandra,2026,CSL305,Complement C2 (classical/lectin pathway) and FcRn (neonatal Fc receptor) via engineered Fc YPY motif,IgG4,IND-enabling,none-stated,False,,cynomolgus,3,PK,30,pharmacological relevance,in-vitro binding shown,Single-dose IV PK/PD: total CSL305 concentrations by ELISA; endogenous IgG levels by ELISA; ex vivo CH50 complement classical pathway activity,,0
42106953,fulltext,Siegel,2026,SPY002 and SPY072,TL1A (TNF-like ligand 1A) / DR3 signaling pathway,IgG1,IND-enabling,IND-supporting,False,,cynomolgus,5,PK,98,regulatory expectation,in-vitro binding shown,"Serum concentration-time profiles; noncompartmental PK parameters (Tmax, Cmax, AUC, t1/2, R) after single SC dosing",,0
42106953,fulltext,Siegel,2026,SPY002 and SPY072,TL1A (TNF-like ligand 1A) / DR3 signaling pathway,IgG1,IND-enabling,IND-supporting,False,,cynomolgus,5,PK,91,regulatory expectation,in-vitro binding shown,"Serum concentration-time profiles; noncompartmental PK parameters (Tmax, Cmax, AUC, t1/2, R) after single SC dosing",,0
42106953,fulltext,Siegel,2026,SPY002 and SPY072,TL1A (TNF-like ligand 1A) / DR3 signaling pathway,IgG1,IND-enabling,IND-supporting,False,,cynomolgus,6,repeat-dose tox,42,regulatory expectation,in-vitro binding shown,"GLP toxicity endpoints including mortality, clinical observations, body weight, ophthalmology, ECG, clinical pathology, anti-drug antibodies, TK parameters, immunophenotyping, TDAR, inflammatory cytokines, gross pathology, organ weights, and histopathology",,0
42106953,fulltext,Siegel,2026,SPY002 and SPY072,TL1A (TNF-like ligand 1A) / DR3 signaling pathway,IgG1,IND-enabling,IND-supporting,False,,cynomolgus,8,repeat-dose tox,182,regulatory expectation,in-vitro binding shown,"GLP toxicity endpoints including mortality, clinical observations, body weight, ophthalmology, ECG, clinical pathology, anti-drug antibodies, TK parameters, immunophenotyping, TDAR, inflammatory cytokines, gross pathology, organ weights, and histopathology",,0
42106953,fulltext,Siegel,2026,SPY002 and SPY072,TL1A (TNF-like ligand 1A) / DR3 signaling pathway,IgG1,IND-enabling,IND-supporting,False,,rat,,efficacy,,historical precedent,in-vitro binding shown,Collagen-induced arthritis severity scoring of paws; hind paw volume by plethysmography; X-ray imaging scoring of bone damage,,0
42106953,fulltext,Siegel,2026,SPY002 and SPY072,TL1A (TNF-like ligand 1A) / DR3 signaling pathway,IgG1,IND-enabling,IND-supporting,False,,mouse,8,efficacy,8,historical precedent,not addressed,"PASI scoring (erythema, scaling, thickness) daily; blinded histopathology scoring of skin layers after IMQ treatment",,0
42106953,fulltext,Siegel,2026,SPY002 and SPY072,TL1A (TNF-like ligand 1A) / DR3 signaling pathway,IgG1,IND-enabling,IND-supporting,False,,mouse,8,efficacy,5,historical precedent,not addressed,Body weight change; colon weight and length; colon weight-to-length ratio; colon IL-6 levels; distal colon histopathology scoring,,0
